.meta.slug,.book_state,.title,.salesforce_abbreviation,.salesforce_name,.salesforce_book_id,.publish_date,.created,.updated,.book_subjects[0].subject_name,.is_ap,.cover_url,.title_image_url,.cover_color,.book_cover_text_color,.reverse_gradient,.print_isbn_10,.print_isbn_13,.print_softcover_isbn_10,.print_softcover_isbn_13,.digital_isbn_10,.digital_isbn_13,.ibook_isbn_10,.ibook_isbn_13,.ibook_volume_2_isbn_10,.ibook_volume_2_isbn_13,.license_url,.high_resolution_pdf_url,.low_resolution_pdf_url,.community_resource_url,.community_resource_feature_link_url,.community_resource_feature_text,.ibook_link,.ibook_link_volume_2,.webview_link,.webview_rex_link,.enable_study_edge,.bookshare_link,.amazon_coming_soon,.amazon_link,.kindle_link,.chegg_link,.bookstore_coming_soon,.comp_copy_available,.tutor_marketing_book,.last_updated_pdf,.adoptions,.savings,.cnx_id,.description
"college-physics","deprecated","College Physics","College Physics (Algebra)","College Physics",,"2012-06-21","2016-03-09T09:05:28.602000-06:00","2023-03-06T16:45:00-06:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/physics.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_CollegePhysics.svg","blue","yellow",false,"1938168003","978-1-938168-00-0",,"978-1-50669-809-0","1-947172-01-8","978-1-947172-01-2",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/College_Physics-WEB_2s5sHvR.pdf",,"https://www.oercommons.org/groups/openstax-college-physics/1051/?__hub_id=27",,"","https://itunes.apple.com/us/book/id1138877479","https://itunes.apple.com/us/book/id575613955","https://cnx.org/contents/031da8d3-b525-429c-80cf-6c8ed997733a","https://openstax.org/books/college-physics/pages/1-introduction-to-science-and-the-realm-of-physics-physical-quantities-and-units",true,"http://www.bookshare.org/browse/book/516490",false,"https://buyprint.openstax.org/college-physics","",,false,false,true,"2020-06-25T15:30:00-05:00",,,"031da8d3-b525-429c-80cf-6c8ed997733a","<p data-block-key=""i0odq""><i>College Physics</i> meets standard scope and sequence requirements for a two-semester introductory algebra-based physics course. The text is grounded in real-world examples to help students grasp fundamental physics concepts. It requires knowledge of algebra and some trigonometry, but not calculus. <i>College Physics</i> includes learning objectives, concept questions, links to labs and simulations, and ample practice opportunities for traditional physics application problems.<br/></p>"
"college-physics-2e","live","College Physics 2e","College Physics (Algebra)","College Physics 2e",,"2022-07-13","2022-06-25T14:33:06.103000-05:00","2023-03-06T16:37:00-06:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/college_physics_2e.svg","https://assets.openstax.org/oscms-prodcms/media/documents/College_Physics_2e_titlecard.svg","green","dark_blue",false,"1938168003","978-1-711470-83-2",,"978-1-711470-82-5","1-947172-01-8","978-1-951693-60-2",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/College_Physics_2e-WEB_7Zesafu.pdf",,"https://www.oercommons.org/groups/openstax-college-physics/1051/?__hub_id=27",,"","","","https://cnx.org/contents/a31df062-930a-4f46-8953-605711e6d204","https://openstax.org/books/college-physics-2e/pages/1-introduction-to-science-and-the-realm-of-physics-physical-quantities-and-units",false,"",false,"","",,false,false,false,,,,"a31df062-930a-4f46-8953-605711e6d204","<p data-block-key=""k4g94""><i>College Physics 2e</i> introduces topics conceptually and progresses through clear explanations in the context of career-oriented, practical applications, and meets the scope and sequence of an algebra-based physics course. The narrative of physics and scientific discovery has been even further expanded to focus on including more diverse contributors to the field. Building on the success of the first edition the authors have increased focus on interdisciplinary connections, including enhancements to biological and medical applications. The problem solving approach has been revised to further unify conceptual, analytical, and calculation skills within the learning process, the authors have integrated a wide array of strategies and supports throughout the text for students.</p>"
"college-physics-ap-courses-2e","live","College Physics For AP® Courses 2e","AP Physics","AP Physics 2e",,"2022-07-19","2022-06-25T14:39:58.783000-05:00","2023-01-19T12:47:00-06:00","Science",true,"https://assets.openstax.org/oscms-prodcms/media/documents/college_physics_for_ap_course_2e.svg","https://assets.openstax.org/oscms-prodcms/media/documents/AP_CollegePhysics2e_titlecard.svg","green","dark_blue",false,"1-938168-93-3","978-1-711470-84-9",,,"1-947172-17-4","978-1-951693-61-9",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/College_Physics_for_AP_Courses_2e-WEB_DkhNbxV.pdf",,"https://www.oercommons.org/groups/openstax-college-physics-for-ap-courses/1055/?__hub_id=27",,"","","","https://cnx.org/contents/fc65697b-5a9e-4dfe-ac03-035129f7be28","https://openstax.org/books/college-physics-ap-courses-2e/pages/1-connection-for-ap-r-courses",false,"",false,"","",,false,true,false,,,,"fc65697b-5a9e-4dfe-ac03-035129f7be28","<p data-block-key=""ow8zh"">College Physics for AP® Courses 2e is designed to engage students in their exploration of physics and help them apply these concepts to the Advanced Placement® test. Because physics is integral to modern technology and other sciences, the book also includes content that goes beyond the scope of the AP® course to further student understanding. The AP® Connection in each chapter directs students to the material they should focus on for the AP® exam, and what content — although interesting — is not necessarily part of the AP® curriculum. This book is Learning List-approved for AP® Physics courses and meets the scope and sequence for these courses.</p><p data-block-key=""3frqd""></p><p data-block-key=""c5unu"">Print copies of this book will be available for the spring 2023 semester. You can <a href=""https://www.xanedu.com/openstax-pre-order"">sign up to be notified when print copies are available</a>.</p>"
"college-success","live","College Success","College Success","College Success",,"2020-03-27","2019-09-27T09:13:58.595000-05:00","2023-03-13T09:12:00-05:00","College Success",false,"https://assets.openstax.org/oscms-prodcms/media/documents/college_success_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/college_success_lnTRq53.svg","orange","red",false,,"978-1-951693-16-9",,"978-1-951693-18-3",,"978-1-951693-17-6",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/College_Success_-_WEB_uM60O3O.pdf",,"https://www.oercommons.org/groups/openstax-college-success/4825/",,"","","","https://cnx.org/contents/e8668a14-9a7d-4d74-b58c-3681f8351224","https://openstax.org/books/college-success/pages/1-introduction",false,"",false,"https://www.amazon.com/College-Success-OpenStax-paperback-version/dp/1951693183","","https://www.chegg.com/etextbooks/college-success-1st-edition-9781951693176-1951693175?trackid=68950e28a978&strackid=dc8a2e190b1f",false,false,false,,349,7949425,"e8668a14-9a7d-4d74-b58c-3681f8351224","<p data-block-key=""vddik"">OpenStax <i>College Success</i> is a comprehensive and contemporary resource that serves First Year Experience, Student Success, and College Transition courses. Developed with the support of hundreds of faculty and coordinators, the book addresses the evolving challenges and opportunities of today’s diverse students. Engagement, self-analysis, personal responsibility, and student support are reflected throughout the material. <i>College Success</i> also includes an array of student surveys and opinion polls, and OpenStax will regularly provide the results to adopting faculty.  </p><p data-block-key=""6vvad"">Based on OpenStax’s open (CC-BY) license and its wide array of formats, faculty may remix and reuse these elements according to their approach. OpenStax textbooks are always free online, as a PDF, and through our mobile app, OpenStax + SE.  </p><p data-block-key=""47gvv"">Robust instructor ancillaries will include lecture slides, an instructor resource manual, a test bank, and other resources.</p>"
"concepts-biology","live","Concepts of Biology","Concepts of Bio (non-majors)","Concepts of Biology",,"2013-04-25","2016-03-09T09:47:29.281000-06:00","2023-01-20T16:21:00-06:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/concpets_biology_eZrc8yQ.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_ConceptsofBiology.svg","orange","yellow",false,"1938168119","978-1-938168-11-6",,"978-1-50669-653-9","1-947172-03-4","978-1-947172-03-6","1-938168-22-4","978-1-938168-22-2",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/ConceptsBiology-OP_Jyx0DT8.pdf",,"https://www.oercommons.org/groups/openstax-concepts-of-biology/1053/?__hub_id=27","https://assets.openstax.org/oscms-prodcms/media/documents/Instructors_Guide_to_Concepts_of_Biology_Chapters_12-21_9pZklM7.pdf","Instructor's Guide to Concepts of Biology, Ch. 12-21","https://itunes.apple.com/us/book/concepts-of-biology/id746742790","","https://cnx.org/contents/b3c1e1d2-839c-42b0-a314-e119a8aafbdd","https://openstax.org/books/concepts-biology/pages/1-introduction",true,"http://www.bookshare.org/browse/book/751423",false,"https://buyprint.openstax.org/concepts-biology","https://amzn.to/3qeBcos",,false,true,false,,,,"b3c1e1d2-839c-42b0-a314-e119a8aafbdd","<p data-block-key=""2nvyi""><i>Concepts of Biology</i> is designed for the typical introductory biology course for nonmajors, covering standard scope and sequence requirements. The text includes interesting applications and conveys the major themes of biology, with content that is meaningful and easy to understand. The book is designed to demonstrate biology concepts and to promote scientific literacy.<br/><br/></p>"
"contemporary-mathematics","coming_soon","Contemporary Mathematics","Contemporary Math","Contemporary Math","a0Z6f00000R27I2EAJ","2023-03-22","2023-03-08T13:31:32.325000-06:00",,"Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/contemporary_mathematics_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/contemporary_mathematics_title_card.svg","deep-green","yellow_white",false,,"978-1-711470-55-9",,"978-1-711470-54-2",,,,,,,"https://creativecommons.org/licenses/by/4.0/",,,"https://www.oercommons.org/groups/openstax-contemporary-mathematics/13339/?__hub_id=27",,"","","","https://cnx.org/contents/7193a423-3ad7-4ac6-98dd-90c70e4724b7","",false,"",false,"","",,false,false,false,,,,"7193a423-3ad7-4ac6-98dd-90c70e4724b7","<p data-block-key=""3uodr""><i>Contemporary Mathematics</i> is designed to meet the scope and sequence requirements for a liberal arts mathematics course. This resource provides stand-alone sections with a focus on showing relevance in the features as well as the examples, exercises, and exposition. <i>Contemporary Mathematics</i> integrates technology applications, projects, and highlights a diverse group of contributors to mathematics, statistics, and related fields.</p><p data-block-key=""3mmnd"">Print copies of this book will be available for the fall 2023 semester. You can <a href=""https://www.xanedu.com/openstax-pre-order"">sign up to be notified when print copies are available</a>.</p>"
"elementary-algebra","retired","Elementary Algebra","Elementary Algebra","Elementary Algebra",,"2017-02-22","2017-02-10T15:48:48.292000-06:00","2021-08-12T14:37:00-05:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/elementary-algebra.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_ElementaryAlgebra.svg","orange","yellow",false,"0-9986257-1-X","978-0-9986257-1-3",,"978-1-50669-820-5","1-947172-25-5","978-1-947172-25-8",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/ElementaryAlgebra-OP_Ft8T0ij.pdf",,"https://www.oercommons.org/groups/openstax-elementary-algebra/1443/?__hub_id=27",,"","","","https://cnx.org/contents/0889907c-f0ef-496a-bcb8-2a5bb121717f","https://openstax.org/books/elementary-algebra/pages/1-introduction",true,"",false,"https://www.amazon.com/Elementary-Algebra-Lynn-Marecek/dp/099862571X","https://www.amazon.com/Elementary-Algebra-Lynn-Marecek-ebook/dp/B075FDSDH5/ref=sr_1_22_twi_kin_2?ie=UTF8&qid=1508860540&sr=8-22&keywords=Openstax","https://www.chegg.com/etextbooks/elementary-algebra-1st-edition-9781947172258-1947172255?trackid=4bebae1d8bd4&strackid=414aa9196328",false,false,false,,342,11770492,"0889907c-f0ef-496a-bcb8-2a5bb121717f","<p data-block-key=""fp9d9""><i>Elementary Algebra</i> is designed to meet the scope and sequence requirements of a one-semester elementary algebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text expands on the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. Each topic builds upon previously developed material to demonstrate the cohesiveness and structure of mathematics.</p>"
"elementary-algebra-2e","live","Elementary Algebra 2e","Elementary Algebra","Elementary Algebra",,"2020-04-22","2020-03-23T10:48:53.227000-05:00","2023-01-18T10:04:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/elementary_algebra_2e_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/elementary_algebra_2e.svg","yellow","white_orange",false,,"978-1-975076-47-4",,"978-1-975076-46-7",,"978-1-951693-20-6",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/ElementaryAlgebra2e-WEB_EjIP4sI.pdf",,"https://www.oercommons.org/groups/openstax-elementary-algebra/1443/?__hub_id=27",,"","","","https://cnx.org/contents/55931856-c627-418b-a56f-1dd0007683a8","https://openstax.org/books/elementary-algebra-2e/pages/1-introduction",false,"",false,"https://www.amazon.com/dp/1975076478/","",,false,false,false,,342,11770492,"55931856-c627-418b-a56f-1dd0007683a8","<p data-block-key=""dia9z""><i>Elementary Algebra 2e</i> is designed to meet scope and sequence requirements for a one-semester elementary algebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text expands on the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. Each topic builds upon previously developed material to demonstrate the cohesiveness and structure of mathematics.</p><p data-block-key=""cfq0e"">The second edition contains detailed updates and accuracy revisions to address comments and suggestions from users. Dozens of faculty experts worked through the text, exercises and problems, graphics, and solutions to identify areas needing improvement. Though the authors made significant changes and enhancements, exercise and problem numbers remain nearly the same in order to ensure a smooth transition for faculty. The first edition of <i>Elementary Algebra</i> by OpenStax is available in web view <a href=""https://openstax.org/books/elementary-algebra/pages/1-introduction"">here</a>.</p>"
"entrepreneurship","live","Entrepreneurship","Entrepreneurship","Entrepreneurship",,"2020-01-16","2019-04-15T14:04:23.700000-05:00","2023-02-24T10:21:00-06:00","Business",false,"https://assets.openstax.org/oscms-prodcms/media/documents/entrepreneurship_book_card_2k8vDF2.svg","https://assets.openstax.org/oscms-prodcms/media/documents/entrepreneurship.svg","orange","yellow",false,"1-947172-69-7","978-1-947172-69-2",,,"1-947172-70-0","978-1-947172-70-8",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Entrepreneurship-WEB_qNSArxT.pdf",,"https://www.oercommons.org/groups/openstax-entrepreneurship/4840/?__hub_id=27",,"","","","https://cnx.org/contents/d380510e-6145-4625-b19a-4fa68204b6b1","https://openstax.org/books/entrepreneurship/pages/1-introduction",false,"",false,"https://www.amazon.com/Entrepreneurship-OpenStax-paperback-version-Michael/dp/1975076346","",,false,false,true,,212,3228860,"d380510e-6145-4625-b19a-4fa68204b6b1","<p data-block-key=""0ah1s"">This textbook is intended for use in introductory Entrepreneurship classes at the undergraduate level. Due to the wide range of audiences and course approaches, the book is designed to be as flexible as possible. Theoretical and practical aspects are presented in a balanced manner, and specific components such as the business plan are provided in multiple formats. <i>Entrepreneurship</i> aims to drive students toward active participation in entrepreneurial roles, and exposes them to a wide range of companies and scenarios.</p>"
"fizyka-dla-szkół-wyższych-tom-1","live","Fizyka dla szkół wyższych. Tom 1",,,,"2017-12-05","2017-12-05T14:46:18.947000-06:00","2022-09-28T10:00:00-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/university_physics_book_card_outlined.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_FizykaTom1_moeDPTS.svg","green","dark_blue",false,,,,,,"978-83-948838-1-2",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Fizyka_dla_szko%C5%82_wyzszych_Tom_1_6Ok9XZL.pdf",,"",,"","","","https://cnx.org/contents/4eaa8f03-88a8-485a-a777-dd3602f6c13e","https://openstax.org/books/fizyka-dla-szk%C3%B3%C5%82-wy%C5%BCszych-tom-1/pages/1-wstep",false,"",false,"","",,false,false,false,,,7937,"4eaa8f03-88a8-485a-a777-dd3602f6c13e","<p data-block-key=""a4h0z""><i>Fizyka dla szkół wyższych. Tom 1</i> dopasowana jest pod względem zakresu i układu treści do typowych kursów wprowadzających z fizyki ogólnej opartych na analizie matematycznej. Podręcznik kładzie nacisk na powiązania między teorią a praktycznymi zastosowaniami, wyjaśniając zagadnienia fizyczne w ciekawy i zrozumiały sposób, lecz z zachowaniem niezbędnego rygoru matematycznego. Liczne, dobrze dobrane przykłady pokazują, jak podejść do zadania, jak wykorzystać wzory i wreszcie jak sprawdzić i uogólnić wynik. Pytania prosimy wysyłać na adres <a href=""mailto:kontakt@openstax.pl"">kontakt@openstax.pl</a>.<br/><br/><a href=""https://openstax.org/blog/openstax-partners-katalyst-deliver-free-textbooks-poland"">OpenStax has partnered with Katalyst Education</a> to bring free, peer-reviewed, openly licensed textbooks to Poland as part of a new effort to internationalize OpenStax’s free open textbook model. <i>Fizyka dla szkół wyższych</i> is the first Polish title to be published under this agreement. Click <a href=""https://openstax.org/details/books/university-physics-volume-1"">here</a> for the English version of University Physics Volume 1.</p><p data-block-key=""gxggl""></p>"
"fizyka-dla-szkół-wyższych-tom-2","live","Fizyka dla szkół wyższych. Tom 2",,,,"2018-06-11","2018-06-05T11:56:26.514000-05:00","2022-09-30T12:00:00-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/university_physics_book_card_volume_2_1.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_FizykaTom2.svg","green","dark_blue",false,,,,,,"978-83-948838-2-9",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Fizyka_dla_szko%C5%82_wyzszych_Tom_2_uUY52zU.pdf",,"",,"","","","https://cnx.org/contents/16ab5b96-4598-45f9-993c-b8d78d82b0c6","https://openstax.org/books/fizyka-dla-szk%C3%B3%C5%82-wy%C5%BCszych-tom-2/pages/1-wstep",false,"",false,"","",,false,false,false,,,,"16ab5b96-4598-45f9-993c-b8d78d82b0c6","<p data-block-key=""korlh""><i>Fizyka dla szkół wyższych. Tom 2</i> dopasowana jest pod względem zakresu i układu treści do typowych kursów wprowadzających z fizyki ogólnej opartych na analizie matematycznej. Podręcznik kładzie nacisk na powiązania między teorią a praktycznymi zastosowaniami, wyjaśniając zagadnienia fizyczne w ciekawy i zrozumiały sposób, lecz z zachowaniem niezbędnego rygoru matematycznego. Liczne, dobrze dobrane przykłady pokazują, jak podejść do zadania, jak wykorzystać wzory i wreszcie jak sprawdzić i uogólnić wynik.<br/> Pytania prosimy wysyłać na adres <a href=""mailto:kontakt@openstax.pl"">kontakt@openstax.pl</a>.<br/><br/><br/><a href=""/blog/openstax-partners-katalyst-deliver-free-textbooks-poland"">OpenStax has partnered with Katalyst Education</a> to bring free, peer-reviewed, openly licensed textbooks to Poland as part of a new effort to internationalize OpenStax’s free open textbook model. <i>Fizyka dla szkół wyższych</i> is the first Polish title to be published under this agreement. Click <a href=""https://openstax.org/details/books/university-physics-volume-2"">here</a> for the English version of University Physics Volume 2.<br/><br/></p>"
"fizyka-dla-szkół-wyższych-tom-3","live","Fizyka dla szkół wyższych. Tom 3",,,,"2018-06-11","2018-06-05T11:56:26.514000-05:00","2022-09-30T12:00:00-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/university_physics_book_card_volume_3_TdcUIkT.svg","https://assets.openstax.org/oscms-prodcms/media/documents/fizyka_tom3.svg","green","dark_blue",false,"978-83-948838-5-0",,,,"978-83-948838-3-6",,,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Fizyka_dla_szko%C5%82_wyzszych_Tom_3_4Go3H60.pdf",,"",,"","","","https://cnx.org/contents/bb62933e-f20a-4ffc-90aa-97b36c296c3e","https://openstax.org/books/fizyka-dla-szk%C3%B3%C5%82-wy%C5%BCszych-tom-3/pages/1-wstep",false,"",false,"","",,false,false,false,,,,"bb62933e-f20a-4ffc-90aa-97b36c296c3e","<p data-block-key=""1a2kk""><i>Fizyka dla szkół wyższych. Tom 3</i> dopasowana jest pod względem zakresu i układu treści do typowych kursów wprowadzających z fizyki ogólnej opartych na analizie matematycznej. Podręcznik kładzie nacisk na powiązania między teorią a praktycznymi zastosowaniami, wyjaśniając zagadnienia fizyczne w ciekawy i zrozumiały sposób, lecz z zachowaniem niezbędnego rygoru matematycznego. Liczne, dobrze dobrane przykłady pokazują, jak podejść do zadania, jak wykorzystać wzory i wreszcie jak sprawdzić i uogólnić wynik.<br/> Pytania prosimy wysyłać na adres <a href=""mailto:kontakt@openstax.pl"">kontakt@openstax.pl</a>.<br/><br/><br/><a href=""/blog/openstax-partners-katalyst-deliver-free-textbooks-poland"">OpenStax has partnered with Katalyst Education</a> to bring free, peer-reviewed, openly licensed textbooks to Poland as part of a new effort to internationalize OpenStax’s free open textbook model. <i>Fizyka dla szkół wyższych</i> is the first Polish title to be published under this agreement. Click <a href=""https://openstax.org/details/books/university-physics-volume-3"">here</a> for the English version of University Physics Volume 3.<br/><br/></p>"
"intermediate-algebra","retired","Intermediate Algebra","Intermediate Algebra","Intermediate Algebra",,"2017-03-14","2017-02-13T14:54:25.187000-06:00","2020-05-08T13:42:00-05:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/intermediate-algebra.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_IntermediateAlgebra.svg","blue","yellow",false,"0-9986257-2-8","978-0-9986257-2-0",,"978-1-50669-821-2","1-947172-26-3","978-1-947172-26-5",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/IntermediateAlgebra-OP_TyKO63g.pdf",,"https://www.oercommons.org/groups/openstax-intermediate-algebra/1444/?__hub_id=27",,"Share and Explore","","","https://cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1","https://openstax.org/books/intermediate-algebra/pages/1-introduction",true,"https://www.bookshare.org/browse/book/2195131?returnPath=L3NlYXJjaD9tb2R1bGVOYW1lPXB1YmxpYyZsaWJyYXJ5VG9TZWFyY2g9Ym9va3NoYXJlJmF1dGhvckZpbHRlcj1PcGVuU3RheCZhdXRob3I9T3BlblN0YXgmc29ydE9yZGVyPVJFTEVWQU5",false,"https://www.amazon.com/Intermediate-Algebra-Lynn-Marecek/dp/0998625728","https://www.amazon.com/Intermediate-Algebra-Lynn-Marecek-ebook/dp/B075FC6MLP",,false,false,false,,451,17117865,"02776133-d49d-49cb-bfaa-67c7f61b25a1","<p data-block-key=""9sl5u""><i>Intermediate Algebra</i> is designed to meet the scope and sequence requirements of a one-semester intermediate algebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text expands on the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. The material is presented as a sequence of clear steps, building on concepts presented in prealgebra and elementary algebra courses.<br/></p>"
"intermediate-algebra-2e","live","Intermediate Algebra 2e","Intermediate Algebra","Intermediate Algebra",,"2020-05-06","2020-04-14T15:29:49.755000-05:00","2023-01-30T15:40:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/intermediate_algebra_2e_web_card_GzBTGtH.svg","https://assets.openstax.org/oscms-prodcms/media/documents/intermediate_algebra_2e.svg","yellow","dark_blue",false,,"978-1-975076-49-8",,"978-1-975076-48-1",,"978-1-951693-24-4",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/IntermediateAlgebra2e-WEB.pdf",,"https://www.oercommons.org/groups/openstax-intermediate-algebra/1444/?__hub_id=27",,"","","","https://cnx.org/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347","https://openstax.org/books/intermediate-algebra-2e/pages/1-introduction",false,"",false,"https://www.amazon.com/dp/1975076486/","",,false,false,false,,451,17117865,"4664c267-cd62-4a99-8b28-1cb9b3aee347","<p data-block-key=""xy3uj""><i>Intermediate Algebra 2e</i> is designed to meet the scope and sequence requirements of a one-semester intermediate algebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text expands on the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. The material is presented as a sequence of clear steps, building on concepts presented in prealgebra and elementary algebra courses.</p><p data-block-key=""zkk6b"">The second edition contains detailed updates and accuracy revisions to address comments and suggestions from users. Dozens of faculty experts worked through the text, exercises and problems, graphics, and solutions to identify areas needing improvement. Though the authors made significant changes and enhancements, exercise and problem numbers remain nearly the same in order to ensure a smooth transition for faculty. The first edition of <i>Intermediate Algebra</i> by OpenStax is available in web view <a href=""https://openstax.org/books/intermediate-algebra/pages/1-introduction"">here</a>.</p>"
"introduction-anthropology","live","Introduction to Anthropology","Anthropology","Introduction to Anthropology",,"2022-02-23","2022-02-10T10:48:07.601000-06:00","2023-03-08T12:30:53.089020-06:00","Social Sciences",false,"https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_anthropology.svg","https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_anthropology_1.svg","deep-green","dark_blue",false,,"978-1-711494-99-9",,"978-1-711494-98-2",,"978-1-951693-99-2",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/IntroductiontoAnthropology-WEB.pdf",,"https://www.oercommons.org/groups/openstax-principles-of-anthropology/10619/",,"","","","https://cnx.org/contents/cf0085c6-528c-4101-ad26-19c612c5a2fa","https://openstax.org/books/introduction-anthropology/pages/1-introduction",false,"",false,"","",,false,true,false,,,,"cf0085c6-528c-4101-ad26-19c612c5a2fa","<p data-block-key=""w79j8"">Designed to meet the scope and sequence of your course, OpenStax <i>Introduction to Anthropology</i> is a four-field text integrating diverse voices, engaging field activities, and meaningful themes like Indigenous experiences and social inequality to engage students and enrich learning. The text showcases the historical context of the discipline, with a strong focus on anthropology as a living and evolving field.  There is significant discussion of recent efforts to make the field more diverse—in its practitioners, in the questions it asks, and in the applications of anthropological research to address contemporary challenges.  In addressing social inequality, the text drives readers to consider the rise and impact of social inequalities based on forms of identity and difference (such as gender, ethnicity, race, and class) as well as oppression and discrimination. The contributors to and dangers of socioeconomic inequality are fully addressed, and the role of inequality in social dysfunction, disruption, and change is noted.</p><p data-block-key=""9ciut"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
"introduction-business","live","Introduction to Business","Introduction to Business","Introduction to Business",,"2018-09-19","2018-09-17T14:41:12.010000-05:00","2023-03-07T10:01:00-06:00","Business",false,"https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_business.svg","https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_business_qyhhoSi.svg","blue","yellow",false,"1-947172-54-9","978-1-947172-54-8",,"978-1-59399-548-5","1-947172-55-7","978-1-947172-55-5",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/IntroductionToBusiness-OP_8D04gAa.pdf",,"https://www.oercommons.org/groups/openstax-introduction-to-business/3490/?__hub_id=27",,"","","","https://cnx.org/contents/4e09771f-a8aa-40ce-9063-aa58cc24e77f","https://openstax.org/books/introduction-business/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/introduction-business","https://amzn.to/3qkVIng",,false,false,false,,607,17929983,"4e09771f-a8aa-40ce-9063-aa58cc24e77f","<p data-block-key=""0aby6""><i>Introduction to Business</i> covers the scope and sequence of most introductory business courses. The book provides detailed explanations in the context of core themes such as customer satisfaction, ethics, entrepreneurship, global business, and managing change. Introduction to Business includes hundreds of current business examples from a range of industries and geographic locations, which feature a variety of individuals. The outcome is a balanced approach to the theory and application of business concepts, with attention to the knowledge and skills necessary for student success in this course and beyond.</p>"
